pitcher,pitcher_name,ball_angle,pitch_type,diff2,active_spin,vMove,hMove,Pitches,Whiff,Swing,Whiff_p,GB_p,FB_p,Velocity,RP_z,RP_x,VAA,release_angle_x,release_angle_z,Spin,bat_speed_diff,Zone_loc,EV,LA,Height
622608,"Senzatela, Antonio",46,FF,6.20303153,0.8228335,11.133543307086615,3.599055118110236,127,10,56,0.07874015748031496,0.34782608695652173,0.34782608695652173,94.6740157480315,6.173858267716535,-2.128031496062992,-5.797593646515712,-2.7835718877287774,-2.48210231339465,2185.763779527559,0.04967784474628261,0.2047244094488189,94.48695652173913,17.608695652173914,73
622663,"Severino, Luis",41,FF,5.596669111,0.90406863,15.696936585365853,6.454243902439025,1025,129,593,0.12585365853658537,0.39263803680981596,0.4110429447852761,96.1510243902439,6.031239024390244,-1.8722243902439024,-4.7371688001331735,-2.6595768299292364,-2.2928719844701897,2219.069268292683,0.4340051631383986,0.22146341463414634,88.49226519337016,18.972375690607734,74
622694,"Hernández, Elieser",40,FF,8.991050671,0.903542298,18.01651376146789,3.8829357798165134,109,8,47,0.07339449541284404,0.20833333333333334,0.5,91.76880733944954,5.2929357798165135,-2.1477064220183486,-4.101845892263517,-2.737623271697149,-1.5417474699263694,2248.4862385321103,2.2789996881305763,0.14678899082568808,96.42916666666666,26.333333333333332,73
622786,"Tinoco, Jesus",25,FF,8.415340966,0.866789222,14.06487804878049,10.741463414634147,82,10,48,0.12195121951219512,0.3076923076923077,0.46153846153846156,96.35365853658537,5.350121951219513,-1.8520731707317073,-4.347406920125903,-2.8159280932604895,-1.6150517389238106,2359.256097560976,0.8766662737777691,0.1951219512195122,95.59230769230768,14.615384615384615,76
623149,"Sewald, Paul",16,FF,13.63303447,0.797063478,13.49776595744681,10.599574468085107,376,52,214,0.13829787234042554,0.1791044776119403,0.5522388059701493,91.35611702127659,4.428989361702127,-3.6020212765957447,-3.3710174089083353,-4.6808695025121425,0.03683962675605981,2515.3563829787236,0.09057457780048603,0.3377659574468085,92.32537313432836,31.47761194029851,75
623167,"Flexen, Chris",70,FF,4.326082251,0.916938946,18.24348162475822,1.5813539651837525,1034,59,448,0.05705996131528046,0.2966507177033493,0.4880382775119617,91.31121856866538,6.8730851063829785,-0.12182785299806577,-5.789463555989352,-0.25496689883472534,-3.2292654414789874,2143.9177949709865,0.7196247725934294,0.1702127659574468,92.00765550239234,22.63157894736842,75
623211,"Brazobán, Huascar",38,FF,9.788830395,0.89816477,13.841020408163264,9.392448979591837,196,14,92,0.07142857142857142,0.4074074074074074,0.37037037037037035,96.6423469387755,5.806938775510204,-1.6048979591836734,-5.0448768490403415,-2.4013131600565347,-2.31276550852972,2198.8061224489797,0.4474655426881665,0.14285714285714285,82.22962962962963,13.666666666666666,75
623433,"Anderson, Nick",47,FF,3.025561425,0.949984397,15.400000000000002,5.698604651162791,129,12,64,0.09302325581395349,0.4,0.36,94.68062015503875,6.4512403100775195,-0.8223255813953488,-5.448925140999258,-1.6021981816489435,-2.8296194822198086,2175.093023255814,0.8242363500496899,0.20155038759689922,95.512,12.8,76
623465,"Phillips, Evan",26,FF,5.636345459,0.928632935,15.364298507462687,9.603582089552239,335,55,156,0.16417910447761194,0.3333333333333333,0.4,96.2134328358209,5.318656716417911,-2.3976716417910446,-4.275654097828425,-3.409037358393491,-1.764240400775066,2400.6597014925374,-1.3620125529386495,0.23880597014925373,88.73055555555555,16.11111111111111,74
624133,"Suárez, Ranger",42,FF,16.36498241,0.790420814,12.357385620915034,5.279738562091503,459,35,194,0.07625272331154684,0.4444444444444444,0.2222222222222222,91.84945533769063,5.832592592592593,1.8901089324618736,-5.260663289259015,2.6513582804729627,-1.7522780478792666,2005.5257270693512,0.034934891683177746,0.19172113289760348,85.96216216216216,8.91891891891892,73
624522,"Thompson, Keegan",38,FF,5.730855307,0.690128656,14.210461538461539,1.9926153846153847,195,26,100,0.13333333333333333,0.27586206896551724,0.4482758620689655,93.50461538461539,5.815384615384615,-2.636102564102564,-4.880284664045682,-2.8792544629797363,-1.9190349748565039,2515.866666666667,-0.3595863111140956,0.2205128205128205,93.92758620689655,21.413793103448278,73
625643,"López, Reynaldo",42,FF,3.323470305,0.980879251,16.396185567010306,7.390309278350515,1164,96,582,0.08247422680412371,0.34673366834170855,0.33668341708542715,95.49707903780069,5.82963058419244,-1.7412714776632303,-4.864461078327526,-2.2540981768464663,-2.4761538941389682,2073.102233676976,0.21387179142882326,0.19673539518900343,91.44472361809045,15.512562814070352,73
628317,"Maeda, Kenta",38,FF,8.620611139,0.867059128,15.469659863945578,7.259591836734693,441,23,177,0.05215419501133787,0.29310344827586204,0.41379310344827586,90.78571428571429,5.678526077097506,-2.1481632653061222,-5.065191026856923,-2.8064143161223116,-1.960207976014465,2283.573696145125,0.43012789794210327,0.14285714285714285,92.3896551724138,22.017241379310345,73
628452,"Iglesias, Raisel",33,FF,8.696074035,0.874606289,15.547272727272727,8.15909090909091,264,43,131,0.16287878787878787,0.25,0.4772727272727273,95.46666666666667,5.603257575757576,-1.746969696969697,-4.5454859033252815,-2.4126752635332482,-1.9936609744789147,2293.943181818182,-2.1017619132302148,0.16287878787878787,88.77173913043478,20.717391304347824,74
628708,"Marte, Yunior",33,FF,2.7840966,0.941094323,14.233246753246753,11.071168831168832,77,3,23,0.03896103896103896,0.4,0.3,97.06493506493507,5.565324675324676,-1.552987012987013,-4.611137807341974,-2.8324672647057856,-1.9989210442670327,2391.246753246753,0.8607119307038331,0.16883116883116883,88.97,15.9,74
630023,"Chirinos, Yonny",45,FF,7.563327591,0.875999939,14.616,9.046588235294116,85,13,45,0.15294117647058825,0.2222222222222222,0.5,93.0164705882353,6.622705882352941,-1.5485882352941176,-4.977273755812573,-2.501122776661153,-1.9822855204366108,2192.2823529411767,-1.1971512073549684,0.24705882352941178,92.94117647058823,24,74
640448,"Finnegan, Kyle",50,FF,0.676931883,0.986924617,15.815700416088765,10.265742024965327,721,78,391,0.10818307905686546,0.4523809523809524,0.25396825396825395,97.20291262135922,5.761678224687933,-1.706754507628294,-4.595655631900998,-2.738187274744504,-2.305173697467373,2084.836111111111,-0.7526551678467998,0.2288488210818308,91.29206349206349,9.071428571428571,74
640451,"Harvey, Hunter",44,FF,4.42354149,0.994765204,16.725263157894737,7.195157894736841,570,68,300,0.11929824561403508,0.39759036144578314,0.24096385542168675,97.75894736842105,5.861175438596491,-1.9429824561403508,-4.527613065742596,-2.768934093293722,-2.44862010151262,2044.8666666666666,-0.8419417278885132,0.23684210526315788,90.8433734939759,13.289156626506024,75
640455,"Manaea, Sean",23,FF,4.506875827,0.969438403,13.12,12.256637168141594,339,55,177,0.16224188790560473,0.1875,0.4791666666666667,92.34542772861357,5.444896755162242,2.6951622418879055,-4.430892842855619,3.8600870434303602,-1.0579369399437795,2003.7738095238096,-1.0606405150316103,0.2448377581120944,89.97551020408163,24.632653061224488,77
640462,"Puk, A.J.",28,FF,10.3757403,0.906465682,14.374900398406375,10.683346613545817,502,83,263,0.16533864541832669,0.2714285714285714,0.5285714285714286,95.55916334661354,5.542211155378486,3.1303585657370516,-4.499645836177036,4.457895788481856,-1.7183557827701588,2265.4840637450197,-0.003272510079458685,0.2908366533864542,85.21142857142857,23.242857142857144,79
640470,"Alzolay, Adbert",42,FF,6.003805015,0.954499514,17.229850746268657,8.441194029850747,67,6,28,0.08955223880597014,0.3333333333333333,0.5555555555555556,94.68805970149253,6.28134328358209,-1.3032835820895523,-5.179246333213719,-1.7153589594706624,-2.8120684707968593,2325.776119402985,-0.08903749156925982,0.14925373134328357,94.22222222222223,23.22222222222222,73
641149,"Parsons, Wes",37,FF,8.678216136,0.858807023,16.970181818181818,8.081454545454545,55,12,30,0.21818181818181817,0.25,0.25,94.80727272727273,5.655454545454545,-1.6163636363636364,-4.494762594205995,-2.3777696807031323,-2.09244718066691,2333.818181818182,-1.2272768741639424,0.2545454545454545,91.975,11.25,77
641154,"López, Pablo",38,FF,9.603857115,0.763187298,14.442695152013147,5.614264585045193,1217,171,660,0.14050944946589974,0.35751295336787564,0.3626943005181347,95.01873459326212,5.568718159408381,-1.6948315529991782,-4.571431978733217,-2.1857378593184493,-1.7978719318792844,2204.578125,-0.12194293864906015,0.22514379622021363,90.20932642487047,18.523316062176164,76
641302,"Alexander, Tyler",36,FF,6.493463434,0.922612534,17.55774193548387,8.88774193548387,372,50,205,0.13440860215053763,0.21739130434782608,0.5072463768115942,89.60725806451613,5.715483870967742,1.4234408602150537,-4.628682493714526,2.3705422221266206,-1.6834235485589444,2294.994623655914,0.670825745817104,0.271505376344086,91.42173913043479,27.014492753623188,74
641312,"Anderson, Shaun",45,FF,14.46865072,0.6373209,13.263243243243245,-0.9081081081081082,74,6,34,0.08108108108108109,0.3333333333333333,0.3333333333333333,91.27027027027027,6.006891891891892,-1.796891891891892,-5.6197924317037735,-1.8629273612440027,-2.200036054361851,2511.7432432432433,1.3186114542045195,0.1891891891891892,92.11904761904762,19.571428571428573,78
641329,"Baker, Bryan",57,FF,6.039394947,0.932101665,17.464666666666666,2.6033333333333335,180,29,96,0.16111111111111112,0.37037037037037035,0.4074074074074074,96.33611111111111,6.5392777777777775,-0.6952222222222222,-5.131581784556153,-0.8167159463963194,-3.019770980992303,2271.0581395348836,-1.7721523854103507,0.20555555555555555,94.55185185185185,20.666666666666668,78
641360,"Bickford, Phil",25,FF,10.62564496,0.840836635,14.830169491525423,6.71593220338983,118,11,47,0.09322033898305085,0.391304347826087,0.43478260869565216,93.26186440677967,4.934915254237288,-2.2090677966101695,-4.1161311564996685,-2.949654052802009,-1.1745496833735498,2196.6949152542375,-1.5664826895768253,0.13559322033898305,87.57826086956521,18.217391304347824,76
641482,"Cortes Jr., Nestor",47,FF,5.371098755,0.967125865,19.166068308181096,4.8367911040508345,1259,138,642,0.1096108022239873,0.2604166666666667,0.5260416666666666,92.08379666401906,5.896203335980937,0.8839316918189039,-4.734058079466644,1.2337507481627408,-2.4022680635077562,2309.4273232724386,0.9865889399949552,0.21445591739475775,92.75051546391752,25.95360824742268,71
641585,"France, J.P.",44,FF,6.697859531,0.834056081,17.572554744525547,5.902773722627737,137,8,53,0.058394160583941604,0.28125,0.46875,92.18832116788322,5.72941605839416,-1.4247445255474454,-4.401729836160071,-1.8549791298358156,-1.793490551343645,2365.6788321167883,0.9794510653599828,0.24087591240875914,93.190625,21.03125,72
641656,"Hamilton, Ian",40,FF,1.496509505,0.928212967,14.826086956521738,9.698260869565217,138,15,59,0.10869565217391304,0.3157894736842105,0.47368421052631576,96.39492753623189,6.013333333333334,-2.5880434782608694,-4.888633187613556,-3.53843117522908,-2.317890619189244,2261.5797101449275,-3.0349077906933664,0.2028985507246377,90.26842105263158,26.263157894736842,73
641703,"Honeywell Jr., Brent",45,FF,1.086802803,0.935715868,16.050102389078496,5.433993174061433,293,17,139,0.05802047781569966,0.3898305084745763,0.3389830508474576,94.76587030716723,6.19703071672355,-0.8280887372013652,-5.173120802726921,-1.1296169680442694,-2.657718103063453,2160.9897610921503,-0.4543036204030837,0.18430034129692832,90.86621621621622,13.5,74
641712,"Hudson, Dakota",36,FF,8.903231871,0.789015481,7.946493506493507,5.421818181818182,231,7,89,0.030303030303030304,0.4375,0.3541666666666667,89.94761904761904,6.138311688311688,-2.2526406926406928,-6.0783682093796,-2.65790703756868,-1.6150850375582795,2114.8483412322275,0.39345402047814004,0.21645021645021645,89.65416666666667,15.041666666666666,77
641729,"Jiménez, Joe",31,FF,2.019460759,0.93661431,17.158330019880715,9.041033797216699,503,68,254,0.13518886679920478,0.3875,0.4125,94.51332007952286,5.737673956262426,-2.4067594433399604,-4.446614647918513,-3.3835978163618243,-2.071841995332591,2398.0616302186877,0.2990210755631082,0.24453280318091453,90.66746987951807,16.96385542168675,75
641745,"Keller, Brad",49,FF,15.27550567,0.719031873,13.694142857142857,-0.8687142857142858,280,18,137,0.06428571428571428,0.5507246376811594,0.2898550724637681,93.80321428571429,6.332142857142857,-1.2965357142857143,-5.722640671699099,-1.1953651995511758,-2.7023284874045888,2241.7714285714287,-0.3123161198711933,0.16428571428571428,84.91176470588235,6.602941176470588,77
641755,"Kinley, Tyler",45,FF,8.425401443,0.867101182,14.911055276381909,4.626331658291457,398,20,175,0.05025125628140704,0.3246753246753247,0.37662337662337664,95.85,6.470427135678392,-0.9591457286432161,-5.650115050840755,-1.3501271746277659,-3.100379915007085,2365.046391752577,0.7149136085747866,0.1457286432160804,93.32763157894738,19.592105263157894,76
641771,"Kuhl, Chad",26,FF,1.539589498,0.944869153,10.850666666666667,14.018666666666668,90,10,33,0.1111111111111111,0.16666666666666666,0.5,94.93666666666667,5.330666666666667,-2.628111111111111,-4.387949493824709,-3.7402762185116414,-0.9462703298857441,2199.0222222222224,0.735840279272368,0.16666666666666666,92.41666666666667,20.166666666666668,75
641793,"Littell, Zack",42,FF,4.289756273,0.951691358,16.861206581352832,7.043363802559415,547,51,267,0.09323583180987204,0.22784810126582278,0.45569620253164556,92.41371115173675,6.148153564899451,-0.5364716636197441,-4.87344300956935,-0.979215898468486,-2.1880726542912408,2024.020109689214,-0.4907433921607012,0.27787934186471663,90.90886075949368,24.569620253164558,76
641816,"Mahle, Tyler",43,FF,5.111331078,0.992814357,17.54380165289256,10.08793388429752,121,17,65,0.14049586776859505,0.34615384615384615,0.38461538461538464,91.40165289256198,5.565619834710744,-1.9880165289256198,-4.476117884848759,-3.0684627998034637,-1.7586363725209526,2317.3223140495866,-2.42237263943874,0.256198347107438,89.26923076923077,20.53846153846154,75
641927,"Ober, Bailey",35,FF,2.996229741,0.921849293,16.791361867704282,7.92455252918288,1028,115,519,0.11186770428015565,0.2640449438202247,0.5056179775280899,91.73910505836577,5.962704280155642,-1.4385116731517509,-4.7451815336914995,-2.2757669706258232,-1.9881959115035868,2302.690731707317,0.4983388989545578,0.2850194552529183,91.62247191011235,24.303370786516854,81
641941,"Pagán, Emilio",41,FF,4.445698727,0.92966195,18.3334110787172,6.954052478134111,343,52,201,0.15160349854227406,0.20967741935483872,0.5483870967741935,94.57142857142857,5.675860058309038,-1.653206997084548,-4.371732369193654,-2.4043648761968646,-2.1929165143023446,2553.1107871720114,0.9811780213132258,0.21574344023323616,91.88548387096775,28.161290322580644,74
642028,"Rogers, Josh",36,FF,8.78537594,0.905379584,13.468474576271186,8.092881355932203,59,0,22,0,0.375,0.4375,89.56101694915255,6.01457627118644,2.5401694915254236,-5.785400821509169,3.8171677030862994,-2.23317965593003,2173.2033898305085,3.1817008155600877,0.1864406779661017,91.075,22.3125,75
642100,"Speier, Gabe",28,FF,10.86431682,0.915675265,15.347755102040814,9.222857142857142,147,28,89,0.19047619047619047,0.29411764705882354,0.5294117647058824,93.04353741496598,5.3874829931972785,1.5908163265306123,-4.304071063666791,2.5438264812064575,-1.427890593595238,2187.081632653061,-0.7189128689858868,0.21768707482993196,86.31764705882352,26.058823529411764,71
642121,"Sulser, Cole",43,FF,1.465986468,0.989652508,18.17874125874126,10.76811188811189,143,12,70,0.08391608391608392,0.3684210526315789,0.47368421052631576,92.21188811188811,5.805944055944056,-1.6825874125874125,-4.592941316484836,-2.747337958648825,-2.0944761014218813,2338.211267605634,1.2375376192641334,0.2517482517482518,91.19473684210526,24.894736842105264,73
642207,"Williams, Devin",23,FF,4.770150877,0.961366095,15.82622009569378,11.654928229665073,209,32,98,0.15311004784688995,0.2,0.65,94.7177033492823,5.384545454545455,-2.3063157894736843,-3.982345519348183,-3.4758144364035646,-1.3800933871061198,2356.1387559808613,-0.5717117373814774,0.2583732057416268,88.04583333333333,29.541666666666668,74
642232,"Yarbrough, Ryan",13,FF,5.827825865,0.97713896,9.389079754601227,15.122944785276076,326,21,128,0.06441717791411043,0.5217391304347826,0.30434782608695654,86.50828220858895,5.206717791411043,3.1292638036809817,-5.164815861984383,4.668593386863107,-0.3456399386761825,1876.0368098159508,-1.9665539523415516,0.2791411042944785,86.2695652173913,8.456521739130435,77
642397,"Soto, Gregory",36,FF,2.534325165,0.891956478,12.698275862068964,11.317241379310346,116,19,51,0.16379310344827586,0.5454545454545454,0.18181818181818182,97.98879310344827,5.771293103448276,1.8687068965517242,-4.747411739287458,3.018232952620134,-1.9697170924511265,2281.1304347826085,-0.4988860275058628,0.12931034482758622,86.12727272727273,3.909090909090909,73
642520,"Garabito, Gerson",44,FF,10.31531029,0.791832554,16.295129533678757,5.473367875647669,193,15,92,0.07772020725388601,0.34615384615384615,0.38461538461538464,93.34715025906736,5.7723834196891195,-2.176839378238342,-4.858179811548252,-2.888792229575327,-2.2141041931102006,2388.6891191709847,0.04966263646230205,0.20725388601036268,92.052,13.68,72
642547,"Peralta, Freddy",37,FF,6.06633945,0.889814289,16.65769975786925,6.774842615012107,1652,204,815,0.1234866828087167,0.3224489795918367,0.42857142857142855,94.33849878934625,5.3658414043583536,-2.732136803874092,-4.038738943066321,-3.365070695028829,-1.5333304148435256,2436.269230769231,-0.41036357931780293,0.22639225181598063,89.6901185770751,20.011857707509883,72
642629,"Ramirez, Emmanuel",61,FF,10.16630195,0.849318676,17.79212121212121,1.3151515151515152,198,13,97,0.06565656565656566,0.3333333333333333,0.3333333333333333,93.93434343434343,5.78040404040404,0.06575757575757576,-4.72760931478123,-0.0772526580310141,-2.3827424703702555,2291.90404040404,2.2045485412846415,0.20202020202020202,93.69047619047619,18.928571428571427,74
642701,"Santana, Dennis",32,FF,3.095903132,0.952458657,15.34344827586207,11.416137931034482,290,30,147,0.10344827586206896,0.2564102564102564,0.41025641025641024,95.74034482758621,5.771103448275862,-2.2711724137931033,-4.882616539298743,-3.2495231763043457,-2.30972167499515,2509.3714285714286,-0.04690166872868339,0.1896551724137931,87.51282051282051,21.23076923076923,74
642834,"Bermudez, Jonathan",31,FF,3.700944197,0.941120847,12.562,8.352,60,3,28,0.05,0.6363636363636364,0.18181818181818182,89.07666666666667,5.291333333333333,1.3881666666666668,-5.069823928611069,2.437874966571984,-1.25063181450876,2141.1666666666665,3.151235862410078,0.15,93.96363636363637,9.727272727272727,74
643256,"Cimber, Adam",-23,FF,23.50022812,0.575988858,7.2109923664122135,8.198473282442748,131,8,63,0.061068702290076333,0.3,0.25,85.006106870229,2.4233587786259543,-4.17030534351145,-2.845850390202418,-4.877754125201296,2.6185413712995693,2267.1297709923665,-0.25054609745079964,0.13740458015267176,90.115,12.45,75
643338,"Green, Chad",45,FF,4.415608412,0.93600165,17.98142857142857,7.920238095238095,504,54,298,0.10714285714285714,0.2828282828282828,0.46464646464646464,95.46448412698413,6.122222222222222,-1.7859722222222223,-4.6412061747293665,-2.5839239342931393,-2.4898009594746378,2459.4890656063617,0.03292729244089584,0.2777777777777778,93.61414141414141,21.414141414141415,75
643361,"Herget, Kevin",51,FF,4.255747434,0.979199866,17.744788732394365,7.1323943661971825,71,7,33,0.09859154929577464,0.4166666666666667,0.16666666666666666,92.91549295774648,6.109577464788733,-1.524225352112676,-5.273907187780365,-2.526517007215971,-2.7987336065141837,2208.9014084507044,-0.3747331632945292,0.16901408450704225,93.44166666666666,14.416666666666666,70
643377,"Jax, Griffin",46,FF,8.407421861,0.82262579,16.219184952978054,5.867586206896552,319,52,177,0.16300940438871472,0.3333333333333333,0.46296296296296297,97.10219435736677,5.537241379310345,-0.6820376175548589,-4.00614200510042,-1.3962377006161593,-1.764875842236527,2486.9079365079365,-0.5247114802589663,0.2884012539184953,93.22962962962963,19.87037037037037,74
646242,"Díaz, Jhonathan",32,FF,7.719600565,0.877889043,13.183846153846154,11.31,52,3,27,0.057692307692307696,0.25,0.5833333333333334,90.2173076923077,5.605384615384615,2.9334615384615383,-5.07938352222705,4.183778932606987,-1.4795497396794943,2132.326923076923,-0.3876470927036412,0.3076923076923077,89.5,23.75,72
647336,"Soroka, Michael",37,FF,9.236489727,0.83813363,16.277435897435897,8.385128205128206,468,45,213,0.09615384615384616,0.31746031746031744,0.5396825396825397,93.46816239316239,5.962777777777778,-2.6891666666666665,-4.719694651720585,-3.6537437034554037,-2.0644079570786507,2527.0491452991455,-0.3144032708585548,0.24572649572649571,84.18730158730159,26.746031746031747,77
650556,"Abreu, Bryan",45,FF,6.902354932,0.848304693,16.718009950248756,6.023084577114428,603,82,290,0.13598673300165837,0.29213483146067415,0.43820224719101125,96.72868988391376,5.648905472636816,-2.1175621890547265,-4.39617601245452,-2.823469480030274,-2.1617631311759675,2355.9417637271213,0.46767753027987624,0.20729684908789386,92.4811111111111,21.92222222222222,73
650633,"King, Michael",29,FF,10.02592424,0.814726761,15.061802575107295,6.012875536480687,699,88,337,0.12589413447782546,0.30434782608695654,0.391304347826087,93.69656652360516,5.745550786838341,-2.879241773962804,-4.41411224090948,-3.5037865003652366,-1.5744311039868306,2287.276011560694,-2.3561359638423416,0.2646638054363376,89.110101010101,21.505050505050505,75
650644,"Civale, Aaron",46,FF,7.367111229,0.911619586,18.33203007518797,4.969172932330827,266,12,126,0.045112781954887216,0.21951219512195122,0.5853658536585366,92.0375939849624,6.412706766917293,-0.8539473684210527,-4.800965219633905,-1.327615584747575,-2.330939691261576,2385.9736842105262,-1.4265449130800893,0.21428571428571427,91.20487804878049,31.26829268292683,74
650671,"Quijada, José",36,FF,12.26152075,0.893470099,16.370279329608938,5.250837988826816,358,57,171,0.15921787709497207,0.20512820512820512,0.48717948717948717,93.85530726256984,5.447039106145251,2.3457262569832404,-3.867327781493941,2.937936546274925,-1.2662512624343687,2230.231843575419,-2.826576570013318,0.2541899441340782,88.85641025641026,22.794871794871796,71
