Player,Ft.,In.,PlayerID
Cole Ragans,6,4,raganco01
Yohan Ramírez,6,4,ramiryo01
Nick Ramirez,6,4,ramirni01
Daniel Robert,6,4,roberda11
Joe Ross,6,4,rossjo01
Erik Sabrowski,6,4,sabroer01
Bryan Sammons,6,4,sammobr01
Miguel Sanó,6,4,sanomi01
Tayler Saucedo,6,4,sauceta01
Matt Sauer,6,4,sauerma01
Christian Scott,6,4,scottch01
Chasen Shreve,6,4,shrevch01
Justin Slaten,6,4,slateju01
Burch Smith,6,4,smithbu03
Blake Snell,6,4,snellbl01
Collin Snider,6,4,snideco01
Ryne Stanek,6,4,stanery01
Hunter Stratton,6,4,strathu01
Wander Suero,6,4,suerowa01
Brent Suter,6,4,suterbr01
Rowdy Tellez,6,4,tellero01
Kai-Wei Teng,6,4,tengka01
Drew Thorpe,6,4,thorpdr01
Jesús Tinoco,6,4,tinocje01
Justin Topa,6,4,topaju01
Eli Villalobos,6,4,villael02
Taijuan Walker,6,4,walketa01
Matt Wallner,6,4,wallnma01
Andrew Walters,6,4,waltean01
Andrew Wantz,6,4,wantzan01
Jordan Weems,6,4,weemsjo01
Zack Wheeler,6,4,wheelza01
Amos Willingham,6,4,william01
Josh Winckowski,6,4,winckjo01
Keaton Winn,6,4,winnke01
Alex Wood,6,4,woodal02
Jake Woodford,6,4,woodfja01
Jason Adam,6,3,adamja01
Austin Adams,6,3,adamsau02
Julian Aguiar,6,3,aguiaju01
Jorge Alcalá,6,3,alcaljo01
Logan Allen,6,3,allenlo01
Justin Anderson,6,3,anderju01
Scott Barlow,6,3,barlosc01
Osvaldo Bido,6,3,bidoos01
Shane Bieber,6,3,biebesh01
Jake Bird,6,3,birdja01
Mason Black,6,3,blackma01
Ronel Blanco,6,3,blancro01
Jake Bloss,6,3,blossja01
Cam Booser,6,3,booseca01
Caleb Boushley,6,3,boushca01
Matthew Boyd,6,3,boydma01
Kyle Bradish,6,3,bradiky01
Huascar Brazobán,6,3,brazohu01
Beau Brieske,6,3,briesbe01
Kris Bubic,6,3,bubickr01
David Buchanan,6,3,buchada01
Aaron Bummer,6,3,bummeaa01
Nick Burdi,6,3,burdini01
Corbin Burnes,6,3,burneco01
Diego Castillo,6,3,castidi01
JT Chargois,6,3,chargjt01
Marc Church,6,3,churcma01
Adam Cimber,6,3,cimbead01
José Cisnero,6,3,cisnejo01
Alex Cobb,6,3,cobbal01
José Cuas,6,3,cuasjo01
Enyel De Los Santos,6,3,delosen01
Chris Devenski,6,3,devench02
Edwin Díaz,6,3,diazed04
Tyler Duffey,6,3,duffety01
Carl Edwards Jr.,6,3,edwarca01
Caleb Ferguson,6,3,ferguca01
Richard Fitts,6,3,fittsri01
Chris Flexen,6,3,flexech01
Luis Frías,6,3,friaslu01
Ian Gibaut,6,3,gibauia01
Tyler Gilbert,6,3,gilbety01
Yoendrys Gómez,6,3,gomezyo01
Chad Green,6,3,greench03
Michael Grove,6,3,grovemi01
Josh Hader,6,3,haderjo01
Hogan Harris,6,3,harriho03
Hunter Harvey,6,3,harvehu01
Jonathan Heasley,6,3,heasljo01
Ben Heller,6,3,hellebe01
Kyle Hendricks,6,3,hendrky01
Blair Henley,6,3,henlebl01
Tommy Henry,6,3,henryto01
Jimmy Herget,6,3,hergeji01
Jonathan Hernández,6,3,hernajo02
Jose Hernandez,6,3,hernajo03
Adrian Houser,6,3,housead01
Spencer Howard,6,3,howarsp01
Daniel Hudson,6,3,hudsoda01
Kyle Hurt,6,3,hurtky01
Alek Jacob,6,3,jacobal01
Joe Jiménez,6,3,jimenjo02
Jakob Junis,6,3,junisja01
Mitch Keller,6,3,kellemi03
Casey Kelly,6,3,kellyca01
Zack Kelly,6,3,kellyza01
Ray Kerr,6,3,kerrra01
