"","pitcher","pitch_type","pitcher_name","diff2","active_spin","axis","p_throws","ball_angle","vMove","vMove_trans","hMove","Pitches","Whiff","Swing","Whiff_p","GB_p","FB_p","Velocity","RP_z","RP_x","VAA","release_angle_x","release_angle_z","Spin","bat_speed_diff","Zone_loc","Extension","Zone_loc_sd","EV","LA","Height","Pitches_total"
"302",663903,"FF","Singer, Brady",4.64131404310196,0.797688568380682,30.8382023247969,"R",29.9253731343284,13.4106268656716,508.016466593198,5.87964179104478,335,23,117,0.0686567164179104,0.476190476190476,0.214285714285714,91.6444776119403,5.31044776119403,-1.35698507462687,-4.2909052163797,-1.99839121413866,-0.969994373843061,2361.34328358209,-1.07605510139568,0.727880597014925,7.00179104477612,0.605272233559582,90.8309523809524,12.5238095238095,77,2967
"303",663941,"FF","Beck, Tristan",2.55949237588309,0.962306952633281,30.6202451405382,"R",42.9729508196721,16.4813114754098,833.259437053593,8.10196721311475,122,11,55,0.0901639344262295,0.315789473684211,0.526315789473684,93.0762295081967,6.07270491803279,-2.94040983606557,-4.95806406315847,-3.60130299757614,-2.3052810349886,2086.225,0.490263999589512,0.786065573770492,6.79180327868852,0.555063182133721,87.2105263157895,21.7368421052632,76,242
"304",663947,"FF","Holton, Tyler",10.4006189131607,0.844067495875202,31.2415755557178,"L",44.9470588235294,16.3211764705882,813.960828843911,5.73764705882353,204,26,101,0.127450980392157,0.435897435897436,0.384615384615385,92.0524509803922,5.97563725490196,1.46960784313726,-5.23077950052818,2.07075434245199,-2.44557952876825,2292.22058823529,-1.62147356314329,1.03955882352941,6.4578431372549,0.679639357763564,86.4,14.3,74,1339
"305",663969,"FF","Phillips, Tyler",17.2558451834121,0.640098947591198,35.5098571393277,"R",30.3814814814815,9.54111111111111,224.407562404526,3.04555555555556,108,15,70,0.138888888888889,0.428571428571429,0.392857142857143,92.6583333333333,5.96509259259259,-1.20194444444444,-5.79834280256046,-2.25120072672279,-1.91289231116413,2313.46296296296,1.98335898632975,0.894074074074074,6.28148148148148,0.617799890532627,81.8285714285714,20.1071428571429,77,578
"306",663978,"FF","Paddack, Chris",1.01038004562271,0.993187265282186,32.9963377452927,"R",49.0344,16.9767412140575,894.644277648767,10.5810862619808,626,76,313,0.121405750798722,0.36697247706422,0.321100917431193,93.2792332268371,6.26046325878594,-2.28583067092652,-5.12446687927822,-3.48666524221277,-2.56021258706554,2213.54414125201,-1.21196601391008,0.752635782747604,6.98272,0.544608411185088,91.9880733944954,17.3119266055046,77,1460
"307",663992,"FF","Lovelady, Richard",10.9743023758903,0.785980456651371,48.0930584855042,"L",20.3451923076923,13.9603846153846,559.44026421486,9.65538461538462,104,13,54,0.125,0.4,0.2,92.4336538461538,5.27884615384615,2.42394230769231,-4.59521519559326,3.24539959777215,-1.39547670989857,2344.46153846154,1.26722595766591,0.898942307692308,7.23269230769231,0.54535980510818,93.645,10.85,72,528
"308",664076,"FF","Cleavinger, Garrett",9.22719494022833,0.887086265955147,36.3962440784854,"L",39.1444444444444,16.5888549618321,846.368290886898,7.74274809160305,262,29,119,0.110687022900763,0.2,0.56,96.4118320610687,5.44709923664122,0.887595419847328,-3.97970278666653,1.2155298639791,-1.68227820170184,2342.352,-1.03787867175415,0.818625954198473,6.05954198473282,0.620761815192585,85.568,28.6,73,1056
"309",664126,"FF","Fairbanks, Pete",5.92143820820827,0.922453560262349,14.7382275446881,"R",52.7247933884298,18.2535537190083,1064.71611610556,2.65057851239669,363,30,162,0.0826446280991736,0.411764705882353,0.382352941176471,97.337741046832,6.87581267217631,-0.398126721763085,-5.87595364248126,-0.560563869977361,-3.97916481513873,2340.84297520661,1.63096248039777,1.14143250688705,6.47823691460055,0.737508975685467,90.5514705882353,15.3235294117647,78,696
"310",664299,"FF","Javier, Cristian",5.33776355000401,0.940771307278562,22.5412260930115,"R",37.9870535714286,19.9719642857143,1321.32567467467,5.77285714285714,224,27,100,0.120535714285714,0.129032258064516,0.612903225806452,91.6558035714286,5.78424107142857,-1.41285714285714,-4.05445614841007,-2.04607063747301,-1.76665377712499,2301.45535714286,0.65244153536083,0.767008928571429,6.00401785714286,0.56260881750491,92.4354838709677,32,73,570
"311",664350,"FF","Sánchez, Sixto",9.42096926226527,0.843956602697398,38.6016604792393,"R",37.6837837837838,14.3721081081081,599.858947006745,7.30767567567568,185,8,77,0.0432432432432432,0.48,0.32,93.8362162162162,5.98205405405405,-2.38237837837838,-5.14543328914172,-3.23648675118457,-2.17288019990298,2118.8972972973,-0.641403560721843,0.846486486486487,6.01135135135135,0.64707878785881,95.096,9.56,72,621
